Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSGALG00000001504,ENSGALT00000040229,FBgn0011802
ENSGALG00000001531,ENSGALT00000002328,
ENSGALG00000001568,ENSGALT00000002384,FBgn0032393
ENSGALG00000001590,ENSGALT00000002415,FBgn0039227
ENSGALG00000001590,ENSGALT00000043944,FBgn0039227
ENSGALG00000001613,ENSGALT00000002455,FBgn0038473
ENSGALG00000001616,ENSGALT00000002464,FBgn0026143
ENSGALG00000001619,ENSGALT00000002475,FBgn0039705
ENSGALG00000001725,ENSGALT00000002646,FBgn0051992
ENSGALG00000001750,ENSGALT00000002683,
ENSGALG00000001753,ENSGALT00000002691,
ENSGALG00000001795,ENSGALT00000002766,
ENSGALG00000001802,ENSGALT00000002784,FBgn0038948
ENSGALG00000001803,ENSGALT00000002785,FBgn0030738
ENSGALG00000001817,ENSGALT00000002811,FBgn0035769
ENSGALG00000001827,ENSGALT00000002825,FBgn0043456
ENSGALG00000001841,ENSGALT00000002849,FBgn0036697
ENSGALG00000001850,ENSGALT00000002866,FBgn0027093
ENSGALG00000001860,ENSGALT00000002879,FBgn0032717
ENSGALG00000001913,ENSGALT00000002964,FBgn0032972
ENSGALG00000001913,ENSGALT00000002964,FBgn0263233
ENSGALG00000001913,ENSGALT00000002964,FBgn0028570
ENSGALG00000001913,ENSGALT00000002964,FBgn0024196
ENSGALG00000001913,ENSGALT00000002964,FBgn0034478
ENSGALG00000001913,ENSGALT00000002964,FBgn0035009
ENSGALG00000001972,ENSGALT00000003064,FBgn0030468
ENSGALG00000002001,ENSGALT00000003116,
ENSGALG00000002003,ENSGALT00000003119,FBgn0003716
ENSGALG00000002005,ENSGALT00000003121,
ENSGALG00000002005,ENSGALT00000040194,
ENSGALG00000002010,ENSGALT00000003131,FBgn0039943
ENSGALG00000002020,ENSGALT00000003144,FBgn0001098
ENSGALG00000002022,ENSGALT00000029706,FBgn0039625
ENSGALG00000002022,ENSGALT00000029706,FBgn0027538
ENSGALG00000002030,ENSGALT00000003157,FBgn0014455
ENSGALG00000002043,ENSGALT00000003177,FBgn0046222
ENSGALG00000002045,ENSGALT00000003180,FBgn0004926
ENSGALG00000002062,ENSGALT00000003210,FBgn0035947
ENSGALG00000002066,ENSGALT00000003215,
ENSGALG00000002107,ENSGALT00000003289,
ENSGALG00000002117,ENSGALT00000003306,FBgn0023216
ENSGALG00000002119,ENSGALT00000003311,FBgn0037622
ENSGALG00000002129,ENSGALT00000003326,FBgn0034931
ENSGALG00000002134,ENSGALT00000003334,FBgn0035532
ENSGALG00000002139,ENSGALT00000040028,FBgn0263352
ENSGALG00000002147,ENSGALT00000040026,FBgn0031871
ENSGALG00000002180,ENSGALT00000003414,
ENSGALG00000002187,ENSGALT00000003423,FBgn0030731
ENSGALG00000002223,ENSGALT00000003480,FBgn0000099
ENSGALG00000002246,ENSGALT00000003516,FBgn0027561
ENSGALG00000002253,ENSGALT00000003536,FBgn0031817
ENSGALG00000002262,ENSGALT00000003545,FBgn0036974
ENSGALG00000002279,ENSGALT00000003575,
ENSGALG00000002305,ENSGALT00000003625,FBgn0050020
ENSGALG00000002305,ENSGALT00000003625,FBgn0033569
ENSGALG00000002305,ENSGALT00000003625,FBgn0030963
ENSGALG00000002315,ENSGALT00000041232,FBgn0033672
ENSGALG00000002341,ENSGALT00000003691,FBgn0003008
ENSGALG00000002352,ENSGALT00000003712,FBgn0014184
ENSGALG00000002363,ENSGALT00000003725,FBgn0001220
ENSGALG00000002397,ENSGALT00000003775,FBgn0023129
ENSGALG00000002414,ENSGALT00000003802,FBgn0031760
ENSGALG00000002414,ENSGALT00000003801,FBgn0031760
ENSGALG00000002419,ENSGALT00000039551,
ENSGALG00000002458,ENSGALT00000003878,FBgn0038058
ENSGALG00000002461,ENSGALT00000003883,FBgn0035049
ENSGALG00000002471,ENSGALT00000003900,
ENSGALG00000002484,ENSGALT00000003915,FBgn0030799
ENSGALG00000002497,ENSGALT00000003932,FBgn0039140
ENSGALG00000002514,ENSGALT00000003963,FBgn0015520
ENSGALG00000002514,ENSGALT00000003963,FBgn0004227
ENSGALG00000002515,ENSGALT00000003964,
ENSGALG00000002531,ENSGALT00000003987,
ENSGALG00000002531,ENSGALT00000040057,
ENSGALG00000002569,ENSGALT00000004055,FBgn0020255
ENSGALG00000002587,ENSGALT00000004075,FBgn0030801
ENSGALG00000002606,ENSGALT00000035062,FBgn0039928
ENSGALG00000002606,ENSGALT00000004104,FBgn0039928
ENSGALG00000002623,ENSGALT00000004131,
ENSGALG00000002624,ENSGALT00000004133,FBgn0036686
ENSGALG00000002656,ENSGALT00000004183,FBgn0024811
ENSGALG00000002659,ENSGALT00000004189,FBgn0040066
ENSGALG00000002664,ENSGALT00000004195,FBgn0000084
ENSGALG00000002686,ENSGALT00000004232,FBgn0000543
ENSGALG00000002706,ENSGALT00000004266,FBgn0020261
ENSGALG00000002716,ENSGALT00000004284,FBgn0032746
ENSGALG00000002719,ENSGALT00000038956,FBgn0002413
ENSGALG00000002732,ENSGALT00000004310,
ENSGALG00000002763,ENSGALT00000004363,
ENSGALG00000002797,ENSGALT00000004426,FBgn0004654
ENSGALG00000002802,ENSGALT00000004432,FBgn0053094
ENSGALG00000002831,ENSGALT00000004469,
ENSGALG00000002844,ENSGALT00000004485,FBgn0031673
ENSGALG00000002850,ENSGALT00000004494,FBgn0004390
ENSGALG00000002862,ENSGALT00000034401,FBgn0032988
ENSGALG00000002872,ENSGALT00000004529,
ENSGALG00000002873,ENSGALT00000004530,FBgn0032050
ENSGALG00000002906,ENSGALT00000004585,FBgn0025790
ENSGALG00000002906,ENSGALT00000004585,FBgn0036496
ENSGALG00000002906,ENSGALT00000045332,FBgn0025790
ENSGALG00000002906,ENSGALT00000045332,FBgn0036496
ENSGALG00000002911,ENSGALT00000004596,FBgn0037153
ENSGALG00000002911,ENSGALT00000004596,FBgn0036565
ENSGALG00000002930,ENSGALT00000037447,FBgn0086377
ENSGALG00000002940,ENSGALT00000004641,
ENSGALG00000002954,ENSGALT00000004668,FBgn0032475
ENSGALG00000002985,ENSGALT00000004723,FBgn0262560
ENSGALG00000002988,ENSGALT00000004729,FBgn0032350
ENSGALG00000003019,ENSGALT00000004771,FBgn0023510
ENSGALG00000003047,ENSGALT00000004817,FBgn0051550
ENSGALG00000003066,ENSGALT00000004841,FBgn0266268
ENSGALG00000003087,ENSGALT00000004880,FBgn0086443
ENSGALG00000003111,ENSGALT00000004911,
ENSGALG00000003130,ENSGALT00000004949,FBgn0010220
ENSGALG00000003143,ENSGALT00000004968,
ENSGALG00000003153,ENSGALT00000004991,FBgn0027496
ENSGALG00000003170,ENSGALT00000005023,FBgn0013813
ENSGALG00000003170,ENSGALT00000043728,FBgn0013813
ENSGALG00000003171,ENSGALT00000039734,FBgn0024958
ENSGALG00000003171,ENSGALT00000039734,FBgn0024957
ENSGALG00000003231,ENSGALT00000005114,FBgn0003545
ENSGALG00000003248,ENSGALT00000005135,
ENSGALG00000003251,ENSGALT00000005141,FBgn0038145
ENSGALG00000003263,ENSGALT00000005166,FBgn0037239
ENSGALG00000003303,ENSGALT00000005233,FBgn0027291
ENSGALG00000003303,ENSGALT00000039672,FBgn0027291
ENSGALG00000003326,ENSGALT00000039198,FBgn0032881
ENSGALG00000003387,ENSGALT00000005353,FBgn0027599
ENSGALG00000003406,ENSGALT00000005387,FBgn0003964
ENSGALG00000003407,ENSGALT00000005388,FBgn0030554
ENSGALG00000003420,ENSGALT00000005407,
ENSGALG00000003440,ENSGALT00000005448,
ENSGALG00000003477,ENSGALT00000005505,
ENSGALG00000003483,ENSGALT00000005511,FBgn0039427
ENSGALG00000003495,ENSGALT00000005530,
ENSGALG00000003503,ENSGALT00000005541,FBgn0002914
ENSGALG00000003532,ENSGALT00000005586,FBgn0035720
ENSGALG00000003532,ENSGALT00000005586,FBgn0003261
ENSGALG00000003532,ENSGALT00000005586,FBgn0029979
ENSGALG00000003547,ENSGALT00000005609,FBgn0037236
ENSGALG00000003558,ENSGALT00000005630,FBgn0033373
ENSGALG00000003572,ENSGALT00000005655,FBgn0032796
ENSGALG00000003597,ENSGALT00000005690,FBgn0022708
ENSGALG00000003602,ENSGALT00000039713,
ENSGALG00000003659,ENSGALT00000005799,FBgn0000330
ENSGALG00000003661,ENSGALT00000005801,
ENSGALG00000003672,ENSGALT00000045795,FBgn0027526
ENSGALG00000003672,ENSGALT00000005818,FBgn0027526
ENSGALG00000003699,ENSGALT00000029074,FBgn0001319
ENSGALG00000003708,ENSGALT00000005878,FBgn0034908
ENSGALG00000003733,ENSGALT00000005924,
ENSGALG00000003736,ENSGALT00000005928,
ENSGALG00000003743,ENSGALT00000005939,FBgn0037299
ENSGALG00000003764,ENSGALT00000005973,
ENSGALG00000003776,ENSGALT00000005992,
ENSGALG00000003781,ENSGALT00000006001,FBgn0032368
ENSGALG00000003781,ENSGALT00000006001,FBgn0265003
ENSGALG00000003788,ENSGALT00000006011,FBgn0035488
ENSGALG00000003826,ENSGALT00000006066,FBgn0029879
ENSGALG00000003853,ENSGALT00000006125,FBgn0030049
ENSGALG00000003853,ENSGALT00000006125,FBgn0039251
ENSGALG00000003861,ENSGALT00000006135,FBgn0035207
ENSGALG00000003870,ENSGALT00000006159,FBgn0051390
ENSGALG00000003879,ENSGALT00000006168,
ENSGALG00000003883,ENSGALT00000006179,FBgn0030582
ENSGALG00000003907,ENSGALT00000006207,FBgn0038769
ENSGALG00000003947,ENSGALT00000006294,FBgn0259139
ENSGALG00000003958,ENSGALT00000006309,FBgn0038306
ENSGALG00000003959,ENSGALT00000006310,FBgn0024833
ENSGALG00000003973,ENSGALT00000006328,
ENSGALG00000004002,ENSGALT00000006375,FBgn0042138
ENSGALG00000004003,ENSGALT00000006376,FBgn0031392
ENSGALG00000004028,ENSGALT00000006413,
ENSGALG00000004033,ENSGALT00000006422,FBgn0051956
ENSGALG00000004033,ENSGALT00000006422,FBgn0051776
ENSGALG00000004033,ENSGALT00000006422,FBgn0035375
ENSGALG00000004065,ENSGALT00000006467,
ENSGALG00000004068,ENSGALT00000006471,FBgn0038360
ENSGALG00000004082,ENSGALT00000006491,FBgn0031030
ENSGALG00000004108,ENSGALT00000006533,
ENSGALG00000004115,ENSGALT00000006542,
ENSGALG00000004144,ENSGALT00000006591,
ENSGALG00000004160,ENSGALT00000006615,FBgn0015778
ENSGALG00000004192,ENSGALT00000006663,FBgn0039229
ENSGALG00000004200,ENSGALT00000006684,FBgn0039240
ENSGALG00000004205,ENSGALT00000006691,FBgn0037612
ENSGALG00000004212,ENSGALT00000034458,FBgn0039688
ENSGALG00000004212,ENSGALT00000034458,FBgn0259984
ENSGALG00000004212,ENSGALT00000006698,FBgn0039688
ENSGALG00000004212,ENSGALT00000006698,FBgn0259984
ENSGALG00000004219,ENSGALT00000040352,FBgn0028691
ENSGALG00000004228,ENSGALT00000006731,
ENSGALG00000004231,ENSGALT00000040455,
ENSGALG00000004237,ENSGALT00000034558,
ENSGALG00000004250,ENSGALT00000006762,
ENSGALG00000004254,ENSGALT00000039230,FBgn0040384
ENSGALG00000004259,ENSGALT00000006773,FBgn0030038
ENSGALG00000004259,ENSGALT00000006773,FBgn0034513
ENSGALG00000004268,ENSGALT00000006787,FBgn0032451
ENSGALG00000004284,ENSGALT00000006809,FBgn0011591
ENSGALG00000004322,ENSGALT00000006888,FBgn0003513
ENSGALG00000004338,ENSGALT00000006920,FBgn0260660
ENSGALG00000004350,ENSGALT00000006940,
ENSGALG00000004379,ENSGALT00000006984,FBgn0026149
ENSGALG00000004387,ENSGALT00000006995,
ENSGALG00000004390,ENSGALT00000006998,FBgn0003210
ENSGALG00000004394,ENSGALT00000007004,FBgn0262737
ENSGALG00000004397,ENSGALT00000007010,FBgn0032940
ENSGALG00000004400,ENSGALT00000007018,FBgn0025633
ENSGALG00000004431,ENSGALT00000007055,FBgn0038947
ENSGALG00000004444,ENSGALT00000007069,FBgn0032848
ENSGALG00000004455,ENSGALT00000007092,FBgn0039214
ENSGALG00000004465,ENSGALT00000007105,
ENSGALG00000004494,ENSGALT00000007159,FBgn0010382
ENSGALG00000004506,ENSGALT00000007178,
ENSGALG00000004575,ENSGALT00000007282,FBgn0086901
ENSGALG00000004578,ENSGALT00000007287,FBgn0035879
ENSGALG00000004578,ENSGALT00000033607,FBgn0035879
ENSGALG00000004620,ENSGALT00000039414,FBgn0267348
ENSGALG00000004621,ENSGALT00000007358,
ENSGALG00000004629,ENSGALT00000007374,
ENSGALG00000004639,ENSGALT00000007391,
ENSGALG00000004663,ENSGALT00000007428,FBgn0028538
ENSGALG00000004670,ENSGALT00000007442,
ENSGALG00000004671,ENSGALT00000044013,
ENSGALG00000004671,ENSGALT00000007444,
ENSGALG00000004701,ENSGALT00000007488,FBgn0014879
ENSGALG00000004710,ENSGALT00000007504,FBgn0082582
ENSGALG00000004713,ENSGALT00000040739,FBgn0052075
ENSGALG00000004715,ENSGALT00000007511,FBgn0259742
ENSGALG00000004736,ENSGALT00000007543,FBgn0003520
ENSGALG00000004736,ENSGALT00000007541,FBgn0003520
ENSGALG00000004738,ENSGALT00000007546,FBgn0033316
ENSGALG00000004776,ENSGALT00000007624,FBgn0030089
ENSGALG00000004779,ENSGALT00000007631,FBgn0004465
ENSGALG00000004780,ENSGALT00000007633,FBgn0243511
ENSGALG00000004793,ENSGALT00000007650,
ENSGALG00000004813,ENSGALT00000007684,FBgn0027086
ENSGALG00000004834,ENSGALT00000007721,FBgn0027055
ENSGALG00000004839,ENSGALT00000007726,FBgn0036386
ENSGALG00000004839,ENSGALT00000039383,FBgn0036386
ENSGALG00000004848,ENSGALT00000007741,FBgn0022959
ENSGALG00000004848,ENSGALT00000039197,FBgn0022959
ENSGALG00000004887,ENSGALT00000038897,FBgn0014024
ENSGALG00000004899,ENSGALT00000007832,FBgn0000455
ENSGALG00000004902,ENSGALT00000007838,FBgn0035995
ENSGALG00000004905,ENSGALT00000007846,FBgn0267790
ENSGALG00000004905,ENSGALT00000007847,FBgn0267790
ENSGALG00000004907,ENSGALT00000007849,FBgn0034636
ENSGALG00000004920,ENSGALT00000007872,FBgn0033060
ENSGALG00000004929,ENSGALT00000007886,
ENSGALG00000004935,ENSGALT00000007898,FBgn0041775
ENSGALG00000004937,ENSGALT00000007902,
ENSGALG00000004937,ENSGALT00000044326,
ENSGALG00000004947,ENSGALT00000007929,FBgn0030687
ENSGALG00000004954,ENSGALT00000007944,FBgn0250837
ENSGALG00000004991,ENSGALT00000007996,FBgn0030577
ENSGALG00000004991,ENSGALT00000007996,FBgn0030578
ENSGALG00000004991,ENSGALT00000007996,FBgn0029152
ENSGALG00000004991,ENSGALT00000007996,FBgn0036809
ENSGALG00000004998,ENSGALT00000033956,FBgn0003079
ENSGALG00000005001,ENSGALT00000036274,FBgn0034802
ENSGALG00000005006,ENSGALT00000008017,FBgn0029113
ENSGALG00000005010,ENSGALT00000029547,FBgn0038055
ENSGALG00000005012,ENSGALT00000008027,FBgn0037550
ENSGALG00000005038,ENSGALT00000008077,
ENSGALG00000005065,ENSGALT00000008121,
ENSGALG00000005092,ENSGALT00000008165,FBgn0051119
ENSGALG00000005107,ENSGALT00000008188,FBgn0020251
ENSGALG00000005108,ENSGALT00000008191,FBgn0261268
ENSGALG00000005135,ENSGALT00000008246,FBgn0028990
ENSGALG00000005135,ENSGALT00000008246,FBgn0038299
ENSGALG00000005135,ENSGALT00000008246,FBgn0028984
ENSGALG00000005138,ENSGALT00000008249,
ENSGALG00000005156,ENSGALT00000008280,FBgn0023479
ENSGALG00000005160,ENSGALT00000008286,FBgn0052675
ENSGALG00000005160,ENSGALT00000008286,FBgn0052087
ENSGALG00000005180,ENSGALT00000008321,FBgn0016075
ENSGALG00000005181,ENSGALT00000008325,FBgn0262126
ENSGALG00000005195,ENSGALT00000008344,FBgn0034951
ENSGALG00000005211,ENSGALT00000008370,FBgn0261112
ENSGALG00000005241,ENSGALT00000008419,FBgn0030276
ENSGALG00000005243,ENSGALT00000008425,FBgn0011826
ENSGALG00000005243,ENSGALT00000008425,FBgn0030758
ENSGALG00000005243,ENSGALT00000008425,FBgn0010015
ENSGALG00000005243,ENSGALT00000040333,FBgn0011826
ENSGALG00000005243,ENSGALT00000040333,FBgn0030758
ENSGALG00000005243,ENSGALT00000040333,FBgn0010015
ENSGALG00000005246,ENSGALT00000008428,FBgn0003145
ENSGALG00000005246,ENSGALT00000008428,FBgn0001147
ENSGALG00000005246,ENSGALT00000008428,FBgn0001148
ENSGALG00000005251,ENSGALT00000008435,
ENSGALG00000005261,ENSGALT00000008447,FBgn0022338
ENSGALG00000005263,ENSGALT00000008449,FBgn0024288
ENSGALG00000005278,ENSGALT00000008465,
ENSGALG00000005279,ENSGALT00000039225,
ENSGALG00000005291,ENSGALT00000008482,
ENSGALG00000005374,ENSGALT00000039165,
ENSGALG00000005377,ENSGALT00000008632,FBgn0031972
ENSGALG00000005451,ENSGALT00000008749,
ENSGALG00000005505,ENSGALT00000044047,FBgn0015279
ENSGALG00000005505,ENSGALT00000008754,FBgn0015279
ENSGALG00000005507,ENSGALT00000008838,FBgn0015520
ENSGALG00000005507,ENSGALT00000008838,FBgn0004227
ENSGALG00000005527,ENSGALT00000008865,
ENSGALG00000005534,ENSGALT00000008877,FBgn0035622
ENSGALG00000005541,ENSGALT00000008890,
ENSGALG00000005571,ENSGALT00000008936,FBgn0038925
ENSGALG00000005575,ENSGALT00000008944,FBgn0263987
ENSGALG00000005620,ENSGALT00000009018,FBgn0051759
ENSGALG00000005623,ENSGALT00000009022,FBgn0024191
ENSGALG00000005628,ENSGALT00000009029,
ENSGALG00000005654,ENSGALT00000009071,
ENSGALG00000005668,ENSGALT00000009090,FBgn0021874
ENSGALG00000005674,ENSGALT00000009099,FBgn0052479
ENSGALG00000005675,ENSGALT00000009101,
ENSGALG00000005694,ENSGALT00000009135,FBgn0027088
ENSGALG00000005695,ENSGALT00000009136,FBgn0019686
ENSGALG00000005701,ENSGALT00000009145,
ENSGALG00000005710,ENSGALT00000042703,FBgn0036556
ENSGALG00000005710,ENSGALT00000009158,FBgn0036556
ENSGALG00000005713,ENSGALT00000009165,FBgn0029997
ENSGALG00000005727,ENSGALT00000009196,FBgn0036764
ENSGALG00000005727,ENSGALT00000009196,FBgn0037203
ENSGALG00000005727,ENSGALT00000009196,FBgn0036493
ENSGALG00000005730,ENSGALT00000009205,FBgn0024836
ENSGALG00000005769,ENSGALT00000044761,FBgn0011737
ENSGALG00000005769,ENSGALT00000009266,FBgn0011737
ENSGALG00000005774,ENSGALT00000033989,FBgn0085442
ENSGALG00000005781,ENSGALT00000009286,FBgn0020655
ENSGALG00000005782,ENSGALT00000009287,FBgn0046114
ENSGALG00000005809,ENSGALT00000009328,FBgn0011710
ENSGALG00000005832,ENSGALT00000009365,FBgn0028992
ENSGALG00000005840,ENSGALT00000009381,FBgn0035229
ENSGALG00000005845,ENSGALT00000033691,FBgn0028425
ENSGALG00000005870,ENSGALT00000005468,FBgn0032929
ENSGALG00000005884,ENSGALT00000009457,
ENSGALG00000005888,ENSGALT00000009467,FBgn0024995
ENSGALG00000005888,ENSGALT00000009467,FBgn0030348
ENSGALG00000005888,ENSGALT00000009467,FBgn0052488
ENSGALG00000005888,ENSGALT00000009467,FBgn0034713
ENSGALG00000005888,ENSGALT00000009467,FBgn0036760
ENSGALG00000005888,ENSGALT00000009467,FBgn0030347
ENSGALG00000005888,ENSGALT00000009467,FBgn0036759
ENSGALG00000005888,ENSGALT00000009467,FBgn0052487
ENSGALG00000005889,ENSGALT00000009470,
ENSGALG00000005889,ENSGALT00000009468,
ENSGALG00000005900,ENSGALT00000009493,
ENSGALG00000005904,ENSGALT00000009497,FBgn0264389
ENSGALG00000005904,ENSGALT00000009497,FBgn0051787
ENSGALG00000005911,ENSGALT00000009507,FBgn0003044
ENSGALG00000005927,ENSGALT00000009535,
ENSGALG00000005930,ENSGALT00000009540,FBgn0024238
ENSGALG00000005931,ENSGALT00000009542,FBgn0040078
ENSGALG00000005959,ENSGALT00000009583,FBgn0050496
ENSGALG00000005992,ENSGALT00000009637,FBgn0266377
ENSGALG00000005999,ENSGALT00000009651,
ENSGALG00000006026,ENSGALT00000009699,FBgn0011725
ENSGALG00000006033,ENSGALT00000009713,FBgn0036919
ENSGALG00000006046,ENSGALT00000009739,FBgn0004179
ENSGALG00000006050,ENSGALT00000009745,
ENSGALG00000006057,ENSGALT00000009766,FBgn0265998
ENSGALG00000006061,ENSGALT00000039992,FBgn0025806
ENSGALG00000006113,ENSGALT00000009867,
ENSGALG00000006123,ENSGALT00000009881,FBgn0029798
ENSGALG00000006127,ENSGALT00000009889,FBgn0031895
ENSGALG00000006132,ENSGALT00000009895,
ENSGALG00000006139,ENSGALT00000009909,FBgn0024806
ENSGALG00000006169,ENSGALT00000009960,
ENSGALG00000006181,ENSGALT00000038797,FBgn0031161
ENSGALG00000006181,ENSGALT00000038797,FBgn0039343
ENSGALG00000006193,ENSGALT00000009993,
ENSGALG00000006219,ENSGALT00000038770,FBgn0264357
ENSGALG00000006219,ENSGALT00000010035,FBgn0264357
ENSGALG00000006219,ENSGALT00000038780,FBgn0264357
ENSGALG00000006225,ENSGALT00000038669,FBgn0053158
ENSGALG00000006240,ENSGALT00000010093,
ENSGALG00000006252,ENSGALT00000045172,FBgn0032196
ENSGALG00000006252,ENSGALT00000033333,FBgn0032196
ENSGALG00000006254,ENSGALT00000010107,
ENSGALG00000006286,ENSGALT00000010155,FBgn0050421
ENSGALG00000006314,ENSGALT00000010210,FBgn0263780
ENSGALG00000006324,ENSGALT00000010225,FBgn0027621
ENSGALG00000006328,ENSGALT00000010231,FBgn0260468
ENSGALG00000006332,ENSGALT00000010237,FBgn0086683
ENSGALG00000006357,ENSGALT00000010275,FBgn0004698
ENSGALG00000006382,ENSGALT00000010309,
ENSGALG00000006382,ENSGALT00000045335,
ENSGALG00000006385,ENSGALT00000010312,FBgn0031664
ENSGALG00000006392,ENSGALT00000010322,
ENSGALG00000006400,ENSGALT00000010331,FBgn0027539
ENSGALG00000006403,ENSGALT00000042638,FBgn0004132
ENSGALG00000006403,ENSGALT00000010337,FBgn0004132
ENSGALG00000006428,ENSGALT00000010377,FBgn0010602
ENSGALG00000006437,ENSGALT00000010388,FBgn0035336
ENSGALG00000006450,ENSGALT00000010414,FBgn0004395
ENSGALG00000006457,ENSGALT00000010428,FBgn0003742
ENSGALG00000006462,ENSGALT00000010437,FBgn0004177
