Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSDARG00000020964,ENSDART00000005221,
ENSDARG00000017728,ENSDART00000023549,FBgn0010551
ENSDARG00000020676,ENSDART00000011305,FBgn0037580
ENSDARG00000012627,ENSDART00000143471,FBgn0036516
ENSDARG00000009094,ENSDART00000144479,FBgn0001138
ENSDARG00000045230,ENSDART00000066506,FBgn0031066
ENSDARG00000037229,ENSDART00000054153,FBgn0030802
ENSDARG00000035420,ENSDART00000046157,FBgn0030685
ENSDARG00000068177,ENSDART00000098417,FBgn0267698
ENSDARG00000014013,ENSDART00000019145,
ENSDARG00000100583,ENSDART00000167510,FBgn0033713
ENSDARG00000003517,ENSDART00000010683,FBgn0036553
ENSDARG00000003517,ENSDART00000010683,FBgn0036552
ENSDARG00000003517,ENSDART00000010683,FBgn0036550
ENSDARG00000003517,ENSDART00000010683,FBgn0036551
ENSDARG00000028982,ENSDART00000133905,
ENSDARG00000016181,ENSDART00000020116,FBgn0023097
ENSDARG00000025535,ENSDART00000144702,FBgn0261279
ENSDARG00000038976,ENSDART00000056893,
ENSDARG00000034042,ENSDART00000043651,FBgn0028858
ENSDARG00000036830,ENSDART00000000221,
ENSDARG00000098108,ENSDART00000163598,
ENSDARG00000042357,ENSDART00000062116,
ENSDARG00000014053,ENSDART00000037265,
ENSDARG00000017658,ENSDART00000002826,FBgn0037279
ENSDARG00000052537,ENSDART00000074407,FBgn0050392
ENSDARG00000007108,ENSDART00000023838,FBgn0030884
ENSDARG00000021399,ENSDART00000003133,FBgn0030435
ENSDARG00000012341,ENSDART00000007732,FBgn0025866
ENSDARG00000012341,ENSDART00000007732,FBgn0012051
ENSDARG00000031814,ENSDART00000045549,FBgn0038610
ENSDARG00000104495,ENSDART00000169240,
ENSDARG00000054842,ENSDART00000077111,
ENSDARG00000039669,ENSDART00000057986,FBgn0034794
ENSDARG00000078059,ENSDART00000115422,
ENSDARG00000015557,ENSDART00000014058,
ENSDARG00000054973,ENSDART00000087111,FBgn0023388
ENSDARG00000104687,ENSDART00000158095,FBgn0023549
ENSDARG00000104687,ENSDART00000158095,FBgn0033913
ENSDARG00000104687,ENSDART00000158095,FBgn0035173
ENSDARG00000104687,ENSDART00000158095,FBgn0033095
ENSDARG00000035879,ENSDART00000052090,FBgn0036169
ENSDARG00000030743,ENSDART00000047552,FBgn0002524
ENSDARG00000035909,ENSDART00000047461,
ENSDARG00000005176,ENSDART00000134177,
ENSDARG00000056966,ENSDART00000079536,
ENSDARG00000099746,ENSDART00000165570,FBgn0028743
ENSDARG00000010047,ENSDART00000003518,
ENSDARG00000017314,ENSDART00000021594,
ENSDARG00000030781,ENSDART00000014669,FBgn0037999
ENSDARG00000030781,ENSDART00000014669,FBgn0038742
ENSDARG00000036438,ENSDART00000052930,FBgn0031771
ENSDARG00000036438,ENSDART00000052930,FBgn0034007
ENSDARG00000036438,ENSDART00000052930,FBgn0034251
ENSDARG00000038107,ENSDART00000144381,FBgn0025391
ENSDARG00000035178,ENSDART00000148436,
ENSDARG00000058225,ENSDART00000081062,FBgn0031781
ENSDARG00000034307,ENSDART00000112487,FBgn0000038
ENSDARG00000015123,ENSDART00000127688,
ENSDARG00000013838,ENSDART00000035865,FBgn0040271
ENSDARG00000008107,ENSDART00000102843,FBgn0262733
ENSDARG00000001788,ENSDART00000005879,FBgn0016691
ENSDARG00000035634,ENSDART00000051670,FBgn0032244
ENSDARG00000104227,ENSDART00000161015,FBgn0033548
ENSDARG00000034825,ENSDART00000043802,
ENSDARG00000058471,ENSDART00000081343,FBgn0003124
ENSDARG00000002330,ENSDART00000019078,FBgn0013751
ENSDARG00000009494,ENSDART00000020033,FBgn0026751
ENSDARG00000031048,ENSDART00000041711,FBgn0020443
ENSDARG00000012366,ENSDART00000019104,FBgn0032820
ENSDARG00000104483,ENSDART00000167173,FBgn0010504
ENSDARG00000044016,ENSDART00000135066,FBgn0011225
ENSDARG00000044073,ENSDART00000064700,FBgn0036169
ENSDARG00000011777,ENSDART00000008696,FBgn0025865
ENSDARG00000002013,ENSDART00000140665,FBgn0261811
ENSDARG00000058128,ENSDART00000016214,
ENSDARG00000044153,ENSDART00000130955,FBgn0000711
ENSDARG00000044136,ENSDART00000105503,FBgn0027505
ENSDARG00000032496,ENSDART00000019353,
ENSDARG00000070222,ENSDART00000102881,FBgn0037720
ENSDARG00000043475,ENSDART00000063826,
ENSDARG00000101886,ENSDART00000158284,FBgn0031174
ENSDARG00000101749,ENSDART00000158212,FBgn0030026
ENSDARG00000102998,ENSDART00000161751,FBgn0010417
ENSDARG00000102998,ENSDART00000161751,FBgn0014342
ENSDARG00000001898,ENSDART00000142972,FBgn0031716
ENSDARG00000052783,ENSDART00000074707,
ENSDARG00000014793,ENSDART00000012717,FBgn0016693
ENSDARG00000068680,ENSDART00000099425,FBgn0036287
ENSDARG00000071196,ENSDART00000143956,
ENSDARG00000098592,ENSDART00000162010,
ENSDARG00000009783,ENSDART00000016370,
ENSDARG00000008568,ENSDART00000033325,FBgn0052103
ENSDARG00000103545,ENSDART00000169986,FBgn0037773
ENSDARG00000103545,ENSDART00000169986,FBgn0036499
ENSDARG00000006207,ENSDART00000015277,
ENSDARG00000027966,ENSDART00000038228,FBgn0039132
ENSDARG00000069920,ENSDART00000102143,FBgn0030610
ENSDARG00000043571,ENSDART00000085377,
ENSDARG00000017320,ENSDART00000109660,
ENSDARG00000045355,ENSDART00000066700,FBgn0266711
ENSDARG00000034677,ENSDART00000048548,
ENSDARG00000077253,ENSDART00000111414,FBgn0032259
ENSDARG00000043493,ENSDART00000063849,FBgn0000319
ENSDARG00000032623,ENSDART00000050202,FBgn0086370
ENSDARG00000007135,ENSDART00000102100,FBgn0033029
ENSDARG00000020187,ENSDART00000004656,
ENSDARG00000014690,ENSDART00000128917,FBgn0011284
ENSDARG00000014746,ENSDART00000122037,FBgn0052062
ENSDARG00000019081,ENSDART00000158547,FBgn0031417
ENSDARG00000019081,ENSDART00000158547,FBgn0032609
ENSDARG00000019081,ENSDART00000158547,FBgn0031418
ENSDARG00000103505,ENSDART00000161105,
ENSDARG00000054454,ENSDART00000149895,FBgn0025936
ENSDARG00000012981,ENSDART00000020667,
ENSDARG00000005606,ENSDART00000031130,FBgn0052133
ENSDARG00000006553,ENSDART00000025496,FBgn0003206
ENSDARG00000028106,ENSDART00000031786,
ENSDARG00000018149,ENSDART00000067446,
ENSDARG00000069496,ENSDART00000077191,FBgn0004908
ENSDARG00000008494,ENSDART00000077662,FBgn0004687
ENSDARG00000088711,ENSDART00000141904,
ENSDARG00000038876,ENSDART00000134975,FBgn0038049
ENSDARG00000038876,ENSDART00000134975,FBgn0039531
ENSDARG00000004270,ENSDART00000023054,FBgn0039213
ENSDARG00000098831,ENSDART00000166804,FBgn0031824
ENSDARG00000101706,ENSDART00000169399,FBgn0014863
ENSDARG00000101706,ENSDART00000169399,FBgn0259209
ENSDARG00000043003,ENSDART00000063135,FBgn0032482
ENSDARG00000100104,ENSDART00000165986,
ENSDARG00000006981,ENSDART00000008989,
ENSDARG00000043313,ENSDART00000043984,FBgn0011747
ENSDARG00000043313,ENSDART00000043984,FBgn0261788
ENSDARG00000002564,ENSDART00000003939,FBgn0033876
ENSDARG00000002391,ENSDART00000027848,
ENSDARG00000059131,ENSDART00000082251,
ENSDARG00000102356,ENSDART00000168084,FBgn0032715
ENSDARG00000102356,ENSDART00000168084,FBgn0015808
ENSDARG00000102974,ENSDART00000159653,FBgn0033636
ENSDARG00000020574,ENSDART00000129561,FBgn0263006
ENSDARG00000058953,ENSDART00000065500,FBgn0034612
ENSDARG00000058953,ENSDART00000065500,FBgn0051793
ENSDARG00000058953,ENSDART00000065500,FBgn0032026
ENSDARG00000058953,ENSDART00000065500,FBgn0263316
ENSDARG00000058953,ENSDART00000065500,FBgn0039644
ENSDARG00000058953,ENSDART00000065500,FBgn0051792
ENSDARG00000058953,ENSDART00000065500,FBgn0010549
ENSDARG00000058953,ENSDART00000065500,FBgn0039207
ENSDARG00000058953,ENSDART00000065500,FBgn0039645
ENSDARG00000058953,ENSDART00000065500,FBgn0032908
ENSDARG00000058953,ENSDART00000065500,FBgn0038740
ENSDARG00000077830,ENSDART00000093358,FBgn0030346
ENSDARG00000024654,ENSDART00000039987,FBgn0036298
ENSDARG00000005425,ENSDART00000027019,FBgn0032246
ENSDARG00000070903,ENSDART00000148741,
ENSDARG00000017489,ENSDART00000140230,
ENSDARG00000014159,ENSDART00000019136,
ENSDARG00000019492,ENSDART00000020942,
ENSDARG00000012219,ENSDART00000014031,FBgn0033015
ENSDARG00000009881,ENSDART00000014330,
ENSDARG00000000631,ENSDART00000000670,FBgn0261985
ENSDARG00000104635,ENSDART00000159361,
ENSDARG00000013063,ENSDART00000013434,FBgn0035298
ENSDARG00000044874,ENSDART00000129211,FBgn0038853
ENSDARG00000070801,ENSDART00000104256,FBgn0261276
ENSDARG00000016519,ENSDART00000029889,FBgn0029067
ENSDARG00000016253,ENSDART00000027587,FBgn0015286
ENSDARG00000057053,ENSDART00000135561,
ENSDARG00000020645,ENSDART00000043727,FBgn0036764
ENSDARG00000020645,ENSDART00000043727,FBgn0037203
ENSDARG00000020645,ENSDART00000043727,FBgn0036493
ENSDARG00000026348,ENSDART00000024354,FBgn0000153
ENSDARG00000038870,ENSDART00000145241,FBgn0039626
ENSDARG00000033285,ENSDART00000041257,FBgn0086348
ENSDARG00000033285,ENSDART00000041257,FBgn0035904
ENSDARG00000033285,ENSDART00000041257,FBgn0035906
ENSDARG00000033285,ENSDART00000041257,FBgn0035907
ENSDARG00000040698,ENSDART00000059623,FBgn0027569
ENSDARG00000044567,ENSDART00000149124,FBgn0038428
ENSDARG00000029356,ENSDART00000164864,FBgn0033476
ENSDARG00000087556,ENSDART00000129392,FBgn0034454
ENSDARG00000104042,ENSDART00000167168,FBgn0039625
ENSDARG00000104042,ENSDART00000167168,FBgn0027538
ENSDARG00000005679,ENSDART00000164197,FBgn0035533
ENSDARG00000058076,ENSDART00000080888,FBgn0260940
ENSDARG00000031968,ENSDART00000045609,
ENSDARG00000003208,ENSDART00000122695,
ENSDARG00000058267,ENSDART00000081094,FBgn0050496
ENSDARG00000037852,ENSDART00000055148,FBgn0036447
ENSDARG00000086103,ENSDART00000163025,FBgn0034611
ENSDARG00000086103,ENSDART00000129423,FBgn0034611
ENSDARG00000022807,ENSDART00000114944,FBgn0027872
ENSDARG00000038618,ENSDART00000135938,FBgn0035383
ENSDARG00000068868,ENSDART00000099748,FBgn0015268
ENSDARG00000068868,ENSDART00000099748,FBgn0267366
ENSDARG00000068868,ENSDART00000099748,FBgn0040345
ENSDARG00000032765,ENSDART00000049066,
ENSDARG00000099213,ENSDART00000167741,FBgn0043456
ENSDARG00000004658,ENSDART00000012637,FBgn0011742
ENSDARG00000069831,ENSDART00000101952,
ENSDARG00000056648,ENSDART00000079165,FBgn0029175
ENSDARG00000020107,ENSDART00000165816,FBgn0031187
ENSDARG00000040606,ENSDART00000150219,FBgn0261953
ENSDARG00000015224,ENSDART00000102611,FBgn0027598
ENSDARG00000061120,ENSDART00000141332,
ENSDARG00000020699,ENSDART00000159780,FBgn0026787
ENSDARG00000104669,ENSDART00000161914,FBgn0265351
ENSDARG00000045562,ENSDART00000144859,FBgn0038811
ENSDARG00000099273,ENSDART00000171298,FBgn0052831
ENSDARG00000041065,ENSDART00000060162,FBgn0011296
ENSDARG00000041065,ENSDART00000060162,FBgn0035817
ENSDARG00000041065,ENSDART00000060162,FBgn0001227
ENSDARG00000041065,ENSDART00000060162,FBgn0035982
ENSDARG00000041065,ENSDART00000060162,FBgn0001224
ENSDARG00000041065,ENSDART00000060162,FBgn0001223
ENSDARG00000041065,ENSDART00000060162,FBgn0001225
ENSDARG00000041065,ENSDART00000060162,FBgn0031037
ENSDARG00000041065,ENSDART00000060162,FBgn0001226
ENSDARG00000041065,ENSDART00000060162,FBgn0001229
ENSDARG00000003091,ENSDART00000007247,
ENSDARG00000016415,ENSDART00000003252,FBgn0039827
ENSDARG00000058800,ENSDART00000081741,
ENSDARG00000004692,ENSDART00000135356,FBgn0031909
ENSDARG00000101144,ENSDART00000160263,FBgn0259824
ENSDARG00000004363,ENSDART00000019416,
ENSDARG00000100729,ENSDART00000162358,FBgn0260442
ENSDARG00000045277,ENSDART00000066590,FBgn0038610
ENSDARG00000070434,ENSDART00000103355,
ENSDARG00000041171,ENSDART00000060347,
ENSDARG00000011459,ENSDART00000020048,FBgn0010225
ENSDARG00000035882,ENSDART00000052097,FBgn0086691
ENSDARG00000103155,ENSDART00000159902,FBgn0265974
ENSDARG00000020541,ENSDART00000025719,
ENSDARG00000070480,ENSDART00000103475,
ENSDARG00000056204,ENSDART00000160013,
ENSDARG00000006526,ENSDART00000023692,FBgn0033312
ENSDARG00000001729,ENSDART00000126967,FBgn0044323
ENSDARG00000093313,ENSDART00000171678,FBgn0003943
ENSDARG00000093313,ENSDART00000171678,FBgn0086558
ENSDARG00000025826,ENSDART00000050332,FBgn0000384
ENSDARG00000070746,ENSDART00000104160,FBgn0037009
ENSDARG00000030881,ENSDART00000040900,
ENSDARG00000057984,ENSDART00000080749,FBgn0038466
ENSDARG00000057984,ENSDART00000080749,FBgn0029095
ENSDARG00000101961,ENSDART00000168510,FBgn0052112
ENSDARG00000102684,ENSDART00000158462,FBgn0263289
ENSDARG00000069946,ENSDART00000102210,FBgn0004456
ENSDARG00000053483,ENSDART00000075521,FBgn0000640
ENSDARG00000053483,ENSDART00000075521,FBgn0011693
ENSDARG00000053483,ENSDART00000075521,FBgn0036620
ENSDARG00000053483,ENSDART00000075521,FBgn0000056
ENSDARG00000053483,ENSDART00000075521,FBgn0000055
ENSDARG00000053483,ENSDART00000075521,FBgn0042137
ENSDARG00000031343,ENSDART00000042255,FBgn0015797
ENSDARG00000006617,ENSDART00000063151,FBgn0028552
ENSDARG00000006617,ENSDART00000063151,FBgn0266721
ENSDARG00000040966,ENSDART00000060034,
ENSDARG00000030887,ENSDART00000042481,
ENSDARG00000091699,ENSDART00000161950,
ENSDARG00000035905,ENSDART00000052123,FBgn0039223
ENSDARG00000038694,ENSDART00000003670,FBgn0033906
ENSDARG00000038694,ENSDART00000003670,FBgn0039371
ENSDARG00000006240,ENSDART00000018908,FBgn0265187
ENSDARG00000006240,ENSDART00000018908,FBgn0021953
ENSDARG00000006240,ENSDART00000018908,FBgn0034999
ENSDARG00000079653,ENSDART00000064591,
ENSDARG00000015676,ENSDART00000021299,FBgn0023542
ENSDARG00000020377,ENSDART00000027616,FBgn0010488
ENSDARG00000039310,ENSDART00000057439,FBgn0033672
ENSDARG00000073845,ENSDART00000113299,FBgn0062442
ENSDARG00000045530,ENSDART00000066951,
ENSDARG00000022378,ENSDART00000029599,FBgn0025742
ENSDARG00000010946,ENSDART00000026275,FBgn0031148
ENSDARG00000040118,ENSDART00000087346,
ENSDARG00000070487,ENSDART00000103493,FBgn0033451
ENSDARG00000041853,ENSDART00000061328,FBgn0031883
ENSDARG00000045685,ENSDART00000067166,FBgn0037240
ENSDARG00000056680,ENSDART00000079215,
ENSDARG00000008803,ENSDART00000002932,
ENSDARG00000021789,ENSDART00000039345,
ENSDARG00000044246,ENSDART00000064966,FBgn0040475
ENSDARG00000020884,ENSDART00000017912,
ENSDARG00000070081,ENSDART00000058578,
ENSDARG00000105243,ENSDART00000159101,FBgn0261403
ENSDARG00000054574,ENSDART00000076800,FBgn0031668
ENSDARG00000009939,ENSDART00000097677,
ENSDARG00000042908,ENSDART00000062986,
ENSDARG00000009524,ENSDART00000024313,FBgn0004919
ENSDARG00000011769,ENSDART00000014685,FBgn0030778
ENSDARG00000043157,ENSDART00000168125,FBgn0035273
ENSDARG00000077760,ENSDART00000114415,FBgn0033475
ENSDARG00000102887,ENSDART00000169600,FBgn0033226
ENSDARG00000055893,ENSDART00000078300,FBgn0039254
ENSDARG00000024895,ENSDART00000037501,FBgn0039557
ENSDARG00000030753,ENSDART00000042570,
ENSDARG00000012306,ENSDART00000024590,FBgn0261085
ENSDARG00000017910,ENSDART00000040865,FBgn0051005
ENSDARG00000020618,ENSDART00000134763,
ENSDARG00000099315,ENSDART00000172241,
ENSDARG00000103118,ENSDART00000160545,
ENSDARG00000042866,ENSDART00000062917,
ENSDARG00000038768,ENSDART00000056618,FBgn0011787
ENSDARG00000100339,ENSDART00000166624,FBgn0013749
ENSDARG00000056979,ENSDART00000079556,FBgn0000099
ENSDARG00000001804,ENSDART00000014103,FBgn0035944
ENSDARG00000017047,ENSDART00000004181,FBgn0265187
ENSDARG00000017047,ENSDART00000004181,FBgn0021953
ENSDARG00000017047,ENSDART00000004181,FBgn0034999
ENSDARG00000056141,ENSDART00000078576,FBgn0033086
ENSDARG00000036371,ENSDART00000052838,
ENSDARG00000075726,ENSDART00000135924,FBgn0027583
ENSDARG00000052113,ENSDART00000051291,FBgn0041630
ENSDARG00000052113,ENSDART00000051291,FBgn0045063
ENSDARG00000052113,ENSDART00000051291,FBgn0041629
ENSDARG00000099640,ENSDART00000162928,FBgn0032391
ENSDARG00000099640,ENSDART00000162928,FBgn0000588
ENSDARG00000041085,ENSDART00000100778,
ENSDARG00000035595,ENSDART00000051606,FBgn0263278
ENSDARG00000069951,ENSDART00000075340,FBgn0000557
ENSDARG00000040628,ENSDART00000059484,
ENSDARG00000006588,ENSDART00000034549,
ENSDARG00000039350,ENSDART00000057507,FBgn0010438
ENSDARG00000052696,ENSDART00000074597,FBgn0000640
ENSDARG00000052696,ENSDART00000074597,FBgn0011693
ENSDARG00000052696,ENSDART00000074597,FBgn0036620
ENSDARG00000052696,ENSDART00000074597,FBgn0000056
ENSDARG00000052696,ENSDART00000074597,FBgn0000055
ENSDARG00000052696,ENSDART00000074597,FBgn0042137
ENSDARG00000030269,ENSDART00000045754,FBgn0038401
ENSDARG00000006754,ENSDART00000021502,FBgn0026441
ENSDARG00000086740,ENSDART00000129568,
ENSDARG00000040280,ENSDART00000058943,
ENSDARG00000007418,ENSDART00000003195,FBgn0086656
ENSDARG00000025106,ENSDART00000029981,FBgn0011826
ENSDARG00000025106,ENSDART00000029981,FBgn0030758
ENSDARG00000025106,ENSDART00000029981,FBgn0010015
ENSDARG00000039887,ENSDART00000058346,FBgn0034259
ENSDARG00000057973,ENSDART00000140214,FBgn0036194
ENSDARG00000039381,ENSDART00000057553,
ENSDARG00000019845,ENSDART00000046981,
ENSDARG00000062592,ENSDART00000159666,FBgn0053098
ENSDARG00000062592,ENSDART00000159666,FBgn0002773
ENSDARG00000017034,ENSDART00000146451,FBgn0035515
ENSDARG00000035329,ENSDART00000131339,
ENSDARG00000035175,ENSDART00000102125,FBgn0032221
ENSDARG00000024325,ENSDART00000149787,FBgn0027569
ENSDARG00000099266,ENSDART00000161120,
ENSDARG00000052343,ENSDART00000109234,
ENSDARG00000042995,ENSDART00000133927,FBgn0086532
ENSDARG00000052402,ENSDART00000145062,
ENSDARG00000019362,ENSDART00000017668,FBgn0011224
ENSDARG00000036616,ENSDART00000053189,
ENSDARG00000057863,ENSDART00000142297,
ENSDARG00000034568,ENSDART00000041833,FBgn0035586
ENSDARG00000099959,ENSDART00000169315,FBgn0264695
ENSDARG00000003751,ENSDART00000027119,FBgn0011739
ENSDARG00000051914,ENSDART00000073626,
ENSDARG00000039579,ENSDART00000057825,
ENSDARG00000077339,ENSDART00000142016,FBgn0026566
ENSDARG00000077339,ENSDART00000142016,FBgn0038107
ENSDARG00000101908,ENSDART00000171021,
ENSDARG00000057105,ENSDART00000148333,FBgn0021874
ENSDARG00000021827,ENSDART00000043316,FBgn0037375
ENSDARG00000021827,ENSDART00000043316,FBgn0040208
ENSDARG00000056122,ENSDART00000063388,FBgn0004868
ENSDARG00000025212,ENSDART00000102902,FBgn0039691
ENSDARG00000057303,ENSDART00000079928,FBgn0030930
ENSDARG00000034883,ENSDART00000007373,FBgn0031478
ENSDARG00000052617,ENSDART00000040083,
ENSDARG00000071211,ENSDART00000105140,FBgn0051800
ENSDARG00000014976,ENSDART00000006099,FBgn0020249
ENSDARG00000020976,ENSDART00000074010,
ENSDARG00000056226,ENSDART00000138688,
ENSDARG00000011152,ENSDART00000005869,
ENSDARG00000016016,ENSDART00000013059,FBgn0036372
ENSDARG00000007787,ENSDART00000016351,
ENSDARG00000025032,ENSDART00000054264,
ENSDARG00000077643,ENSDART00000135461,
ENSDARG00000054378,ENSDART00000015267,FBgn0262737
ENSDARG00000042548,ENSDART00000062402,FBgn0034345
ENSDARG00000052515,ENSDART00000152964,
ENSDARG00000020469,ENSDART00000025862,FBgn0026323
ENSDARG00000002264,ENSDART00000012268,FBgn0034001
ENSDARG00000088202,ENSDART00000126950,FBgn0010877
ENSDARG00000101423,ENSDART00000164323,
ENSDARG00000103980,ENSDART00000161007,
ENSDARG00000058865,ENSDART00000081819,FBgn0033690
ENSDARG00000028507,ENSDART00000029308,FBgn0004657
ENSDARG00000005927,ENSDART00000077057,FBgn0031233
ENSDARG00000042401,ENSDART00000062175,FBgn0038438
ENSDARG00000057805,ENSDART00000080777,FBgn0031660
ENSDARG00000035146,ENSDART00000050902,FBgn0032634
ENSDARG00000088383,ENSDART00000138087,FBgn0019624
ENSDARG00000030177,ENSDART00000104322,FBgn0010288
ENSDARG00000057060,ENSDART00000079656,FBgn0035944
ENSDARG00000038397,ENSDART00000056034,FBgn0085212
ENSDARG00000012667,ENSDART00000013003,FBgn0261953
ENSDARG00000013931,ENSDART00000010256,FBgn0033902
ENSDARG00000044380,ENSDART00000143373,FBgn0032822
ENSDARG00000058202,ENSDART00000081025,FBgn0037019
ENSDARG00000056462,ENSDART00000056381,
ENSDARG00000036791,ENSDART00000053418,
ENSDARG00000037782,ENSDART00000055055,FBgn0024288
ENSDARG00000087528,ENSDART00000125945,FBgn0039943
ENSDARG00000099291,ENSDART00000158126,
ENSDARG00000043175,ENSDART00000106082,
ENSDARG00000020354,ENSDART00000019059,FBgn0052105
ENSDARG00000087897,ENSDART00000121952,
ENSDARG00000101849,ENSDART00000168768,FBgn0038984
ENSDARG00000056873,ENSDART00000079449,
