WBID,length
WBGene00015238,1160
WBGene00219234,262
WBGene00255714,922
WBGene00015228,1407
WBGene00015229,867
WBGene00015230,1149
WBGene00015231,1003
WBGene00015232,1806
WBGene00015233,1009
WBGene00044321,1688
WBGene00044321,1699
WBGene00015235,886
WBGene00015235,958
WBGene00015235,826
WBGene00015235,862
WBGene00001562,2661
WBGene00001562,2258
WBGene00001562,3563
WBGene00007195,665
WBGene00007195,768
WBGene00007195,766
WBGene00007195,251
WBGene00004443,316
WBGene00004443,217
WBGene00007196,441
WBGene00007196,174
WBGene00007197,2095
WBGene00007197,1884
WBGene00235301,300
WBGene00007200,531
WBGene00007200,358
WBGene00003993,1714
WBGene00001443,4347
WBGene00015241,1091
WBGene00015242,1692
WBGene00015243,2319
WBGene00015244,569
WBGene00015245,830
WBGene00006599,2361
WBGene00006599,2422
WBGene00006599,2646
WBGene00015246,1073
WBGene00015247,578
WBGene00015247,584
WBGene00015248,473
WBGene00015248,745
WBGene00015249,1574
WBGene00015249,1575
WBGene00015249,1548
WBGene00015249,1534
WBGene00015250,1284
WBGene00015250,975
WBGene00015250,546
WBGene00015251,747
WBGene00015251,1096
WBGene00015251,299
WBGene00015251,682
WBGene00015251,399
WBGene00015252,1038
WBGene00000817,1205
WBGene00015253,195
WBGene00005086,1008
WBGene00015254,228
WBGene00015255,1890
WBGene00015257,1812
WBGene00015258,1550
WBGene00015259,1149
WBGene00015260,1422
WBGene00015260,573
WBGene00015260,338
WBGene00015261,564
WBGene00077673,458
WBGene00206365,683
WBGene00006637,1074
WBGene00006479,1083
WBGene00015262,480
WBGene00015263,2824
WBGene00015263,1533
WBGene00015263,1399
WBGene00015264,748
WBGene00015265,258
WBGene00044687,231
WBGene00006766,1210
WBGene00006766,1033
WBGene00006766,619
WBGene00006766,607
WBGene00023421,1272
WBGene00023421,1286
WBGene00007201,1217
WBGene00044083,647
WBGene00044083,657
WBGene00044083,674
WBGene00007202,762
WBGene00007202,228
WBGene00007203,1487
WBGene00007203,1507
WBGene00007204,1266
WBGene00007206,1272
WBGene00007207,1939
WBGene00007207,1933
WBGene00007207,695
WBGene00007208,1272
WBGene00015266,2443
WBGene00015267,1670
WBGene00015268,2485
WBGene00015268,2355
WBGene00255598,1091
WBGene00255598,773
WBGene00255598,698
WBGene00255598,452
WBGene00255598,240
WBGene00007209,1002
WBGene00007210,1670
WBGene00007211,1753
WBGene00007212,1075
WBGene00044127,325
WBGene00044127,385
WBGene00007213,806
WBGene00007213,353
WBGene00007213,324
WBGene00007214,713
WBGene00007214,252
WBGene00007215,1596
WBGene00007216,717
WBGene00007217,1118
WBGene00007218,823
WBGene00007219,666
WBGene00007219,725
WBGene00077546,273
WBGene00015284,1825
WBGene00044294,1126
WBGene00015278,1301
WBGene00194839,716
WBGene00015279,1774
WBGene00015279,1680
WBGene00001858,753
WBGene00001858,498
WBGene00001858,483
WBGene00001858,442
WBGene00015280,1737
WBGene00015280,1728
WBGene00015280,1756
WBGene00015280,1736
WBGene00015280,1652
WBGene00015280,1733
WBGene00015280,689
WBGene00015280,659
WBGene00015280,795
WBGene00015280,511
WBGene00015280,764
WBGene00015280,743
WBGene00015281,410
WBGene00015281,180
WBGene00015282,2113
WBGene00015282,2163
WBGene00015283,2008
WBGene00005017,1026
WBGene00015285,1453
WBGene00015286,1983
WBGene00015287,1155
WBGene00015288,1697
WBGene00015291,526
WBGene00006283,1059
WBGene00006136,954
WBGene00006284,1059
WBGene00005138,984
WBGene00015270,993
WBGene00015271,1428
WBGene00015272,1437
WBGene00015273,1635
WBGene00006342,3293
WBGene00006342,3265
WBGene00006342,1727
WBGene00006342,1699
WBGene00006342,3308
WBGene00006342,3280
WBGene00006342,3242
WBGene00006342,3214
WBGene00015275,399
WBGene00006467,2356
WBGene00015276,462
WBGene00004457,11557
WBGene00015277,609
WBGene00007220,4782
WBGene00007220,5052
WBGene00194890,268
WBGene00000523,958
WBGene00015294,643
WBGene00015294,1016
WBGene00015295,1505
WBGene00000526,1139
WBGene00003739,702
WBGene00015292,978
WBGene00015293,1476
WBGene00015293,1406
WBGene00000186,3509
WBGene00000186,3575
WBGene00015296,1579
WBGene00015297,1324
WBGene00015298,1954
WBGene00015298,835
WBGene00015299,1144
WBGene00015300,927
WBGene00015301,1722
WBGene00015303,3241
WBGene00015303,3600
WBGene00007221,1922
WBGene00219207,225
WBGene00007222,1597
WBGene00001413,1668
WBGene00001413,950
WBGene00000120,772
WBGene00006438,1844
WBGene00006438,2361
WBGene00006438,1710
WBGene00006438,1779
WBGene00006438,1575
WBGene00006438,1843
WBGene00006438,1780
WBGene00006438,1503
WBGene00006438,1539
WBGene00006438,1916
WBGene00006438,1638
WBGene00006438,1398
WBGene00006438,1637
WBGene00006438,1574
WBGene00002046,784
WBGene00002046,846
WBGene00007223,377
WBGene00007223,99
WBGene00007223,87
WBGene00007230,3833
WBGene00007237,1352
WBGene00006808,1575
WBGene00006808,1684
WBGene00006808,1118
WBGene00006808,2586
WBGene00006808,1695
WBGene00006808,1568
WBGene00006808,1175
WBGene00006808,999
WBGene00006808,1605
WBGene00006808,1714
WBGene00001021,615
WBGene00007239,488
WBGene00007240,303
WBGene00007241,436
WBGene00044658,316
WBGene00077583,201
WBGene00005969,1083
WBGene00007231,219
WBGene00007232,228
WBGene00007233,395
WBGene00007234,1216
WBGene00007235,1178
WBGene00007235,1141
WBGene00007236,1174
WBGene00007242,1740
WBGene00007250,315
WBGene00007250,274
WBGene00007251,341
WBGene00044333,839
WBGene00219299,317
WBGene00007243,268
WBGene00007244,694
WBGene00007245,840
WBGene00007246,260
WBGene00007247,1966
WBGene00007248,3089
WBGene00007249,831
WBGene00235291,382
WBGene00004179,2595
WBGene00015305,1221
WBGene00015306,3395
WBGene00015307,984
WBGene00015308,1393
WBGene00015309,408
WBGene00015309,471
WBGene00015310,2743
WBGene00015310,1408
WBGene00015311,1366
WBGene00000170,1189
WBGene00000170,1195
WBGene00000170,1204
WBGene00000170,1207
WBGene00000170,1076
WBGene00000170,1222
WBGene00007224,697
WBGene00007225,1283
WBGene00007226,995
WBGene00007227,3648
WBGene00006510,2174
WBGene00006510,2217
WBGene00006510,593
WBGene00006510,448
WBGene00007228,1687
WBGene00000289,3259
WBGene00000289,3181
WBGene00000289,2783
WBGene00007229,1171
WBGene00015312,1228
WBGene00015312,1225
WBGene00000540,1392
WBGene00000965,1220
WBGene00001022,1022
WBGene00001333,2329
WBGene00001333,2295
WBGene00015313,1277
WBGene00002717,5314
WBGene00002717,3132
WBGene00002717,6233
WBGene00002717,5885
WBGene00000637,967
WBGene00007252,2183
WBGene00007253,1005
WBGene00007254,1527
WBGene00003622,2352
WBGene00003622,1935
WBGene00003622,2365
WBGene00003622,1556
WBGene00003622,1543
WBGene00003622,2220
WBGene00007255,1481
WBGene00007255,1495
WBGene00007256,2234
WBGene00007256,2225
WBGene00007256,2177
WBGene00007256,2168
WBGene00007257,819
WBGene00007257,598
WBGene00007258,3009
WBGene00001781,734
WBGene00044090,932
WBGene00015315,537
WBGene00015316,918
WBGene00003096,915
WBGene00015317,1073
WBGene00015318,909
WBGene00044088,501
WBGene00044089,897
WBGene00015326,1981
WBGene00015326,1995
WBGene00015327,733
WBGene00015328,1437
WBGene00015329,883
WBGene00015330,2617
WBGene00015330,2590
WBGene00015330,2221
WBGene00015331,1197
WBGene00000082,4802
WBGene00003616,1640
WBGene00007259,561
WBGene00045386,412
WBGene00015320,535
WBGene00015320,652
WBGene00219375,1089
WBGene00015321,819
WBGene00015322,653
WBGene00001953,539
WBGene00015323,1137
WBGene00015324,1789
WBGene00015325,159
WBGene00015332,2056
WBGene00000845,1396
WBGene00015333,1827
WBGene00015334,1032
WBGene00001130,2671
WBGene00001130,3266
WBGene00007260,2171
WBGene00007260,2017
WBGene00007261,1259
WBGene00007261,827
WBGene00007261,515
WBGene00007261,709
WBGene00007262,932
WBGene00004777,1565
WBGene00004777,1556
WBGene00004777,600
WBGene00004777,591
WBGene00004777,1634
WBGene00004777,1650
WBGene00004777,1263
WBGene00015335,1227
WBGene00015336,1185
WBGene00015336,1162
WBGene00015337,929
WBGene00043097,871
WBGene00015344,3630
WBGene00015344,3633
WBGene00015338,3185
WBGene00015342,1023
WBGene00006244,1050
WBGene00005246,1220
WBGene00005245,1002
WBGene00005247,867
WBGene00005247,990
WBGene00005248,1086
WBGene00015339,319
WBGene00015340,301
WBGene00015341,261
WBGene00006238,1038
WBGene00045215,790
WBGene00045215,141
WBGene00006643,1064
WBGene00006643,1166
WBGene00006643,1052
WBGene00006643,674
WBGene00006643,788
WBGene00015354,692
WBGene00015354,598
WBGene00015354,329
WBGene00006431,2211
WBGene00015355,652
WBGene00015356,3696
WBGene00015357,2232
WBGene00015358,801
WBGene00000419,5683
WBGene00006527,2525
WBGene00006527,1604
WBGene00006527,2546
WBGene00007264,897
WBGene00007265,684
WBGene00002231,3376
WBGene00015351,495
WBGene00006628,792
WBGene00015352,1343
WBGene00015353,799
WBGene00044445,489
WBGene00015345,418
WBGene00015346,1223
WBGene00015347,1120
WBGene00015348,637
WBGene00015349,1272
WBGene00015349,1428
WBGene00015350,2044
WBGene00015350,2109
WBGene00015350,2174
WBGene00015350,1905
WBGene00015350,1970
WBGene00006627,905
WBGene00003952,881
WBGene00015359,3036
WBGene00015360,2451
WBGene00044803,450
WBGene00015361,1005
WBGene00015362,1125
WBGene00220257,936
WBGene00001127,1691
WBGene00015364,1435
WBGene00000086,4574
WBGene00000086,4428
WBGene00007266,1387
WBGene00007266,1195
WBGene00007267,1965
WBGene00007268,864
WBGene00015368,944
WBGene00015369,1657
WBGene00015370,919
WBGene00015371,954
WBGene00000031,1525
WBGene00015366,984
WBGene00005887,1140
WBGene00004099,1228
WBGene00005929,885
WBGene00005930,873
WBGene00000029,1174
WBGene00000030,1317
WBGene00015367,1061
WBGene00015372,783
WBGene00015380,158
WBGene00003053,1044
WBGene00015381,1588
WBGene00015382,844
WBGene00015373,843
WBGene00015374,350
WBGene00015375,762
WBGene00015376,1407
WBGene00015377,464
WBGene00015377,798
WBGene00015378,2687
WBGene00015378,2316
WBGene00015379,618
WBGene00015385,180
WBGene00015386,793
WBGene00003002,7238
WBGene00002202,1864
WBGene00002202,1863
WBGene00007269,1091
WBGene00004392,1388
WBGene00007270,967
WBGene00007271,207
WBGene00007273,796
WBGene00185075,135
WBGene00007274,669
WBGene00001483,979
WBGene00007275,872
WBGene00000466,2156
WBGene00000466,1814
WBGene00003800,4570
WBGene00007277,984
WBGene00007278,650
WBGene00004437,593
WBGene00219796,228
WBGene00007279,894
WBGene00007281,1119
WBGene00001645,1881
WBGene00007282,3196
WBGene00007283,829
WBGene00015387,2079
WBGene00015388,1089
WBGene00015389,1792
WBGene00015390,1588
WBGene00015390,1586
WBGene00015391,2290
WBGene00044338,361
WBGene00044339,365
WBGene00044340,306
WBGene00044357,306
WBGene00219371,432
WBGene00015392,374
WBGene00001448,587
WBGene00001448,560
WBGene00023477,391
WBGene00044337,306
WBGene00015396,1153
WBGene00005439,1017
WBGene00015397,1359
WBGene00015398,901
WBGene00015399,1408
WBGene00015400,1613
WBGene00015401,912
WBGene00015402,1044
WBGene00005647,1440
WBGene00005947,907
WBGene00235116,384
WBGene00005602,1111
